name,hash,names,cls,killed,total,survived,waived,no_verdict
str-split-join,f3a62459d59a9a242fd1bc3aecb60455ea9deddf7d652419889d9be7d961f36e,str-split-join,no-mutation-points,,,,,
str-take,77452b35b089d93e5c76c4fbf423527316a03c6716c731ec1bfa998c36eef091,str-take,scored,3,11,8,0,0
sum,25f8a4de0cc7ea04a1b0b5dcc02690e8ea8eef0d44af6604f9ce2923d6f7085a,sum,scored,3,4,1,0,0
swap,b00e9f7d7c2d30c50f40005d5ec58a8c19fc7c667f1c3b598752285b16387fe3,swap,no-mutation-points,,,,,
t-flatten,a431dd53a6b3abf6af360722bd9afc37f6bdb670a513f88c218a15ea5cc6a597,t-flatten,scored,2,2,0,0,0
t-insert,312101f6dfd4a4aecf341d92d861d1c08755e72701c5f9b1a929b8d974a6adbd,t-insert,scored,6,6,0,0,0
t-member,2b71f64d6f4d161d5eb82f6f275f43791148026378cd1fba0e7436d22ac78925,t-member,scored,4,5,1,0,0
t-size,1fc6a47774e2bd036f080ebba273dc29cc592b7af762b2a8cc0df810fe249ddf,t-size,scored,7,7,0,0,0
take,1cca17c6d090a186ea837405687e938f7669f53b2be874e4aaded470a015577e,take,scored,11,11,0,0,0
take-while,0160610e8287758f43ba2ab3e28000023fe591dd8d8114fac248843c55592764,take-while,scored,3,3,0,0,0
tenth-f,8fd0dda446661476e93adbcb0fd6ae4f326624746df628bed7bc6370b089f4f6,tenth-f,no-mutation-points,,,,,
third-f,8364dad02bbc6fcb767defa0c468c4c9f363bc99ae13bb48357db0c736486c3a,third-f,no-mutation-points,,,,,
unwrap-or,19d25f94f919f5fa214487f020fbf665989f7a75d0556222aad8c6c94b3f4e44,unwrap-or,no-mutation-points,,,,,
webhook,04241aba6e93a75091d40ffd20412ad6f0b91439b9fa1e547f85eec9101ffbdb,webhook,scored,84,176,92,0,0
within-window,b83924f8160e0a11d033dbad799627ca5a4be7b5803d939d82304d5025e91fdb,within-window,scored,10,11,1,0,0
zip,8994f7a68c09274971e798d47ccfe1bbe287b1b8c66a6fc0f4221f49f93cb6f5,zip,scored,2,2,0,0,0
zip-with,d55d85255312c199535c3ac5023f77b2b10f6aabdea2bd11cd4c530cf3c644ac,zip-with,scored,2,2,0,0,0
